Release Month  Release Date	Release Year	Movie	Budget ($M)	Domestic ($M)	Worldwide ($M)
11	3	2000	Charlie's Angels	90	125.305545	259.73609
6	19	1998	Mulan	90	120.620254	303.5
8	13	2008	Tropic Thunder	90	110.461307	188.163455
12	20	2011	The Girl with the Dragon Tattoo	90	102.515793	233.170238
7	11	1997	Contact	90	100.920329	165.9
5	19	1995	Die Hard: With a Vengeance	90	100.012499	364.480746
6	8	2001	Atlantis: The Lost Empire	90	84.052762	186.04902
12	25	2008	Valkyrie	90	83.077762	203.902107
6	29	2001	Artificial Intelligence: AI	90	78.616689	235.9
8	4	2000	Hollow Man	90	73.20934	191.2
4	22	2005	The Interpreter	90	72.708161	163.954076
8	7	2013	Percy Jackson: Sea of Monsters	90	68.559554	200.859554
7	25	2003	Lara Croft: Tomb Raider: The Cradle of Life	90	65.653758	156.453758
11	21	2001	Spy Game	90	62.36256	143.04956
4	4	1997	The Saint	90	61.363304	169.4
3	10	2000	Mission to Mars	90	60.874615	106
12	17	1999	Bicentennial Man	90	58.220776	87.420776
7	7	2004	King Arthur	90	51.877963	203.877963
4	25	1997	Volcano	90	47.546796	120.1
3	26	1997	The Devil's Own	90	42.885593	140.9
7	19	2002	K-19: The Widowmaker	90	35.168966	65.716126
8	19	2011	Conan the Barbarian 3D	90	21.295021	63.356133
10	21	2011	The Three Musketeers 3D	90	20.377913	139.877913
11	24	2010	The Nutcracker in 3D	90	0.195459	20.466016
5	10	1996	Twister	88	241.888385	495.9
6	3	2005	Cinderella Man	88	61.649911	108.539911
7	8	2005	Fantastic Four	87.5	154.69608	330.71708
2	9	2001	Hannibal	87	165.092266	350.10028
7	25	2003	Seabiscuit	86	120.277854	148.336445
12	22	2000	Cast Away	85	233.632142	427.230516
11	17	2006	Happy Feet	85	198.000317	385.000317
12	7	2001	Ocean's Eleven	85	183.41715	450.728529
7	23	2004	The Bourne Supremacy	85	176.08745	288.58745
7	25	1997	Air Force One	85	172.956409	315.268353
4	3	2009	Fast & Furious	85	155.064265	363.064265
3	14	2008	Horton Hears a Who	85	154.529439	297.133947
